dv,control_mean,ate,se,p,rel
opp_directed,3.481,-0.2119,0.0491,0.0,-6.1%
pressures,2.873,-0.1421,0.0415,0.0006,-4.9%
tackles,0.347,-0.0012,0.0126,0.9262,-0.3%
fouls,0.262,-0.0686,0.0096,0.0,-26.2%
ball_directed,1.779,-0.011,0.0288,0.7033,-0.6%
ball_recoveries,0.84,0.0026,0.0194,0.894,+0.3%
clearances,0.397,-0.0156,0.014,0.265,-3.9%
blocks,0.335,-0.0117,0.0117,0.3177,-3.5%
interceptions,0.207,0.0132,0.0106,0.2121,+6.4%
