dv,control_mean,ate,se,p,rel
post_n_def_actions,5.229,-0.2168,0.0647,0.0008,-4.1%
post_n_pressure,2.854,-0.1642,0.047,0.0005,-5.8%
post_n_tackle,0.344,0.001,0.0125,0.9352,+0.3%
post_n_foul_committed,0.254,-0.0586,0.0094,0.0,-23.1%
