panel,var,mean_unbooked,mean_booked,diff,p
covariate,"Opponent-directed actions, minutes [0,15)",3.3925190204760622,3.828679245283019,0.43616022480691735,9.926172313889803e-14
covariate,\quad thereof fouls committed,0.20238765075714948,0.27811320754716984,0.07572555679001092,6.510852740638016e-13
covariate,"Ball-directed actions, minutes [0,15)",1.6428553954546568,1.7935849056603774,0.15072951020570613,2.6945677082125325e-07
covariate,"All events, minutes [0,15)",30.070626513687404,29.6011320754717,-0.46949443821554726,0.07495534208153043
covariate,Score margin at minute 15,0.008293172199525406,-0.02830188679245283,-0.036595058991973545,0.0013840816346404555
covariate,Pre-match win probability,0.3860314989910827,0.3416399370389765,-0.04439156195209926,2.1552749409171055e-27
covariate,Home team,0.5062993859627664,0.45962264150943394,-0.04667674445332559,6.182968670512248e-07
covariate,Age (years),27.034242206762524,27.100789585835496,0.06654737907305246,0.40305206938797256
outcome,opp_directed,3.481126305746508,3.4656603773584904,-0.01546592838800409,0.7735588519888854
outcome,pressures,2.8729114171783645,2.8875471698113206,0.014635752632962951,0.7492782875758044
outcome,tackles,0.3466252415783937,0.3720754716981132,0.02545023011971719,0.04420211093323205
outcome,fouls,0.26158964698974974,0.2060377358490566,-0.05555191114068549,8.586285572508219e-09
outcome,ball_directed,1.7788976686156028,1.8543396226415094,0.07544195402590323,0.011067715206869347
outcome,ball_recoveries,0.8400812192675587,0.8675471698113207,0.027465950543760755,0.15991404189588898
outcome,clearances,0.3969714020109108,0.4090566037735849,0.012085201762673864,0.4243926447609234
outcome,blocks,0.3345646696186119,0.33811320754716984,0.0035485379285582555,0.7612765066155267
outcome,interceptions,0.20728037771852142,0.23962264150943396,0.03234226379090893,0.002478999866732243
